"","census_county_fips","primary16_clinton","primary16_sanders"
"1943",38087,0.444583333,0.477083333
"1944",39063,0.449,0.542
"1945",30095,0.461,0.492
"1946",37055,0.425,0.489
"1947",12075,0.5,0.431
"1948",19089,0.461,0.539
"1949",46043,0.565,0.435
"1950",48061,0.682,0.279
"1951",25025,0.569201673,0.420730006
"1952",28123,0.855,0.131
"1953",19023,0.417,0.583
"1954",21011,0.456,0.466
"1955",5107,0.754,0.183
"1956",42125,0.572,0.409
"1957",41069,0.358,0.642
"1958",2050,0.171062173,0.828935602
"1959",38005,0.444583333,0.477083333
"1960",28157,0.934,0.051
"1961",48283,0.701,0.196
"1962",51683,0.581,0.41
"1963",56045,0.5,0.5
"1964",48499,0.687,0.296
"1965",48071,0.68,0.29
"1966",48039,0.696,0.288
"1967",12037,0.47,0.457
"1968",6031,0.592,0.385
"1969",51101,0.719,0.269
"1970",29133,0.672,0.289
"1971",21045,0.507,0.44
"1972",5009,0.592,0.385
"1973",47095,0.778,0.197
"1974",1037,0.877,0.108
"1975",19081,0.612,0.388
"1976",53071,0.292,0.708
"1977",39011,0.51,0.471
"1978",31147,0.563,0.438
"1979",28051,0.929,0.065
"1980",48477,0.731,0.257
"1981",1021,0.731,0.246
"1982",17189,0.397,0.577
"1983",41001,0.399,0.601
"1984",26155,0.394,0.578
"1985",13111,0.599,0.391
"1986",24041,0.611,0.343
"1987",37063,0.575,0.41
"1988",38033,0.444583333,0.477083333
"1989",48121,0.508,0.485
"1990",56013,0.5,0.5
"1991",48259,0.562,0.43
"1992",23017,0.515,0.4375
"1993",27105,0.465952381,0.464285714
"1994",13155,0.799,0.181
"1995",48163,0.677,0.229
"1996",40055,0.276,0.558
"1997",5123,0.808,0.15
"1998",38027,0.444583333,0.477083333
"1999",31049,0.4,0.6
"2000",27037,0.505,0.45
"2001",33021,0.381036672,0.599605761
"2002",17053,0.391,0.594
"2003",21225,0.299,0.493
"2004",37189,0.296,0.685
"2005",26017,0.46,0.493
"2006",1003,0.647,0.329
"2007",38053,0.444583333,0.477083333
"2008",2232,0.197254902,0.802745098
"2009",19189,0.425,0.575
"2010",12009,0.597,0.377
"2011",5095,0.607,0.296
"2012",21235,0.525,0.411
